id,label
1,0
2,1
3,0
4,0
5,0
6,0
7,0
8,1
9,0
10,0
11,1
12,0
13,1
14,0
15,1
16,0
17,1
18,0
19,1
20,0
21,1
22,0
23,0
24,0
25,1
26,0
27,0
28,0
29,1
30,0
31,1
32,0
33,1
34,1
35,1
36,0
37,1
38,1
39,0
40,0
41,1
42,0
43,1
44,1
45,1
46,0
47,1
48,0
49,1
50,0
51,1
52,1
53,0
54,0
55,0
56,1
57,0
58,0
59,0
60,0
61,0
62,1
63,1
64,0
65,1
66,0
67,0
68,0
69,0
70,0
71,1
72,1
73,1
74,1
75,1
76,1
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,1
85,1
86,0
87,1
88,1
89,0
90,1
91,1
92,0
93,1
94,0
95,1
96,0
97,0
98,0
99,1
100,1
101,0
102,0
103,0
104,0
105,1
106,0
107,1
108,1
109,0
110,0
111,0
112,1
113,0
114,0
115,1
116,0
117,0
118,0
119,0
120,0
121,1
122,0
123,1
124,0
125,0
126,1
127,0
128,0
129,0
130,0
131,0
132,0
133,1
134,0
135,0
136,0
137,1
138,1
139,1
140,0
141,0
142,0
143,1
144,1
145,0
146,1
147,0
148,0
149,0
150,1
151,0
152,0
153,1
154,1
155,1
156,1
157,0
158,0
159,1
160,1
161,0
162,1
163,1
164,1
165,1
166,1
167,0
168,0
169,0
170,1
171,0
172,1
173,0
174,0
175,0
176,1
177,0
178,1
179,1
180,0
181,1
182,0
183,1
184,0
185,0
186,1
187,1
188,1
189,0
190,1
191,0
192,0
193,0
194,0
195,0
196,1
197,1
198,1
199,1
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,1
209,1
210,1
211,0
212,0
213,0
214,1
215,1
216,0
217,1
218,0
219,1
220,0
221,0
222,1
223,0
224,0
225,1
226,0
227,1
228,1
229,0
230,0
231,0
232,0
233,0
234,0
235,1
236,0
237,0
238,1
239,0
240,1
241,0
242,0
243,1
244,1
245,1
246,1
247,0
248,0
249,0
250,1
251,1
252,1
253,1
254,1
255,0
256,1
257,0
258,1
259,0
260,0
261,0
262,0
263,1
264,1
265,0
266,0
267,1
268,0
269,1
270,1
271,0
272,0
273,0
274,1
275,1
276,0
277,0
278,0
279,1
280,1
281,1
282,0
283,0
284,1
285,1
286,0
287,1
288,1
289,0
290,1
291,1
292,1
293,1
294,0
295,1
296,1
297,0
298,0
299,0
300,0
301,1
302,0
303,1
304,1
305,0
306,0
307,0
308,0
309,1
310,0
311,1
312,1
313,1
314,0
315,1
316,1
317,0
318,0
319,0
320,1
321,1
322,1
323,1
324,0
325,0
326,1
327,0
328,1
329,1
330,0
331,0
332,1
333,1
334,1
335,1
336,0
337,1
338,0
339,1
340,0
341,0
342,0
343,1
344,1
345,1
346,1
347,0
348,0
349,1
350,1
351,0
352,0
353,0
354,1
355,0
356,1
357,0
358,1
359,0
360,1
361,0
362,1
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,1
373,1
374,1
375,1
376,0
377,0
378,1
379,1
380,1
381,0
382,0
383,1
384,0
385,0
386,1
387,1
388,1
389,0
390,0
391,0
392,1
393,0
394,0
395,1
396,1
397,1
398,1
399,0
400,1
401,0
402,0
403,0
404,0
405,0
406,1
407,1
408,1
409,0
410,1
411,1
412,1
413,0
414,1
415,0
416,0
417,1
418,0
419,1
420,0
